# chipvoice register log v1
# name: song-e2e
# chip: 2a03
# clock: 1789773
# cycles: 17897730
# source: test-e2e.mjs, as chipvoice.dev renders it
# notes: through the driver and the sequencer
0 4015 0F
0 4000 30
0 4004 30
0 4008 00
0 400B 00
0 4000 30
0 4004 30
0 4008 00
0 400B 03
178977 4008 FF
178977 400A F8
178977 400B FB
178977 4000 7F
178977 4001 08
178977 4002 52
178977 4003 F9
178977 4004 39
178977 4005 08
178977 4006 FB
178977 4007 F9
178977 400C 3D
178977 400E 06
178977 400F F8
208807 4004 38
208807 4006 AB
208807 400C 3B
208807 400E 04
238636 4000 7E
238636 4004 37
238636 4006 52
238636 400C 38
238636 400E 03
268466 4000 7D
268466 4006 FB
268466 400C 34
268466 400E 01
298296 4000 7C
298296 4004 36
298296 4006 AB
298296 400C 32
298296 400E 00
328125 4006 52
328125 400C 30
357955 4000 7B
357955 4006 FB
387784 4006 AB
417614 4000 7A
417614 4006 52
447443 4006 FB
477273 4006 AB
507102 4008 00
507102 400B 03
507102 4000 79
507102 4006 52
532222 4008 FF
532222 400A F8
532222 400B FB
532222 400C 36
532222 400E 8D
532222 400F F8
536932 4006 FB
562052 400C 33
566761 4002 50
566761 4006 AB
591881 400C 31
596591 4000 78
596591 4002 4F
596591 4006 52
621711 400C 30
626421 4002 50
626421 4006 FB
656250 4002 52
656250 4006 AB
686080 4002 55
686080 4006 52
715909 4002 56
715909 4006 FB
745739 4002 55
745739 4006 AB
775568 4002 52
775568 4006 52
805398 4002 50
805398 4006 FB
835227 4002 4F
835227 4006 AB
860347 4008 00
860347 400B 03
865057 4000 30
865057 4006 52
885467 4008 FF
885467 400A F8
885467 400B FB
885467 4000 7F
885467 4001 08
885467 4002 1C
885467 4003 F9
885467 400C 3C
885467 400E 09
885467 400F F8
894887 4006 FB
915296 400C 3A
924716 4006 AB
945126 4000 7E
945126 400C 37
954546 4006 52
974955 4000 7D
974955 400C 34
984375 4006 FB
1004785 4000 7C
1004785 400C 32
1014205 4006 AB
1034614 400C 31
1044034 4006 52
1064444 4000 7B
1064444 400C 30
1073864 4006 FB
1103693 4006 AB
1124103 4000 7A
1133523 4006 52
1163352 4006 FB
1193182 4006 AB
1213592 4008 00
1213592 400B 03
1213592 4000 30
1223012 4006 52
1238711 4008 FF
1238711 400A F8
1238711 400B FB
1238711 4000 7F
1238711 4001 08
1238711 4002 FD
1238711 4003 F8
1238711 400C 36
1238711 400E 8D
1238711 400F F8
1252841 4006 FB
1268541 400C 33
1282671 4006 AB
1298370 4000 7E
1298370 400C 31
1312500 4006 52
1328200 4000 7D
1328200 400C 30
1342330 4006 FB
1358030 4000 7C
1372159 4006 AB
1401989 4006 52
1417689 4000 7B
1431818 4006 FB
1461648 4006 AB
1477348 4000 7A
1491477 4006 52
1521307 4006 FB
1551137 4006 AB
1566836 4008 00
1566836 400B 03
1566836 4000 79
1580966 4006 52
1591956 4008 FF
1591956 400A F8
1591956 400B FB
1591956 400C 3D
1591956 400E 06
1591956 400F F8
1610796 4006 FB
1621786 400C 3B
1621786 400E 04
1626495 4002 FB
1640625 4006 AB
1651615 400C 38
1651615 400E 03
1656325 4000 78
1670455 4006 52
1681445 400C 34
1681445 400E 01
1700284 4006 FB
1711274 400C 32
1711274 400E 00
1715984 4002 FD
1730114 4006 AB
1741104 400C 30
1745814 4002 FF
1759943 4006 52
1775643 4017 40
1775647 4002 FF
1775651 4001 87
1775655 4017 C0
1775663 4001 08
1775667 4002 00
1789773 4006 FB
1805473 4017 40
1805477 4002 00
1805481 4001 8F
1805485 4017 C0
1805493 4001 08
1805497 4002 FF
1819603 4006 AB
1835302 4002 FD
1849432 4006 52
1865132 4002 FB
1879262 4006 FB
1909091 4006 AB
1920081 4008 00
1920081 400B 03
1924791 4000 30
1938921 4006 52
1945201 4008 FF
1945201 400A F8
1945201 400B FB
1945201 4000 7F
1945201 4001 08
1945201 4002 E1
1945201 4003 F8
1945201 400C 36
1945201 400E 8D
1945201 400F F8
1968750 4006 FB
1975030 400C 33
1998580 4006 AB
2004860 4000 7E
2004860 400C 31
2028409 4006 52
2034689 4000 7D
2034689 400C 30
2058239 4006 FB
2064519 4000 7C
2088069 4006 AB
2117898 4006 52
2121823 400C 3D
2121823 400E 06
2121823 400F F8
2124178 4000 7B
2147728 4006 FB
2151653 400C 3B
2151653 400E 04
2177557 4006 AB
2181482 400C 38
2181482 400E 03
2183837 4000 7A
2207387 4006 52
2211312 400C 34
2211312 400E 01
2237216 4006 FB
2241141 400C 32
2241141 400E 00
2267046 4006 AB
2270971 400C 30
2273326 4008 00
2273326 400B 03
2273326 4000 30
2296875 4006 52
2298445 4008 FF
2298445 400A F8
2298445 400B FB
2298445 4000 7F
2298445 4001 08
2298445 4002 D5
2298445 4003 F8
2298445 400C 3C
2298445 400E 09
2298445 400F F8
2326705 4006 FB
2328275 400C 3A
2356534 4006 AB
2358104 4000 7E
2358104 400C 37
2386364 4006 52
2387934 4000 7D
2387934 400C 34
2416194 4006 FB
2417764 4000 7C
2417764 400C 32
2446023 4006 AB
2447593 400C 31
2475853 4006 52
2477423 4000 7B
2477423 400C 30
2505682 4006 FB
2535512 4006 AB
2537082 4000 7A
2565341 4006 52
2595171 4006 FB
2625000 4006 AB
2626570 4008 00
2626570 400B 03
2626570 4000 79
2651690 4008 FF
2651690 400A 74
2651690 400B FC
2651690 400C 36
2651690 400E 8D
2651690 400F F8
2654830 4006 52
2681520 400C 33
2684660 4006 FB
2686229 4002 D3
2711349 400C 31
2714489 4006 AB
2716059 4000 78
2741179 400C 30
2744319 4006 52
2774148 4006 FB
2775718 4002 D5
2803978 4006 AB
2805548 4002 D6
2833807 4006 52
2835377 4002 D7
2863637 4006 FB
2865207 4002 D6
2893466 4006 AB
2895036 4002 D5
2923296 4006 52
2924866 4002 D3
2953125 4004 30
2979815 4008 00
2979815 400B 04
2984525 4000 30
3004935 4008 FF
3004935 400A 00
3004935 400B FD
3004935 4000 7F
3004935 4001 08
3004935 4002 D5
3004935 4003 F8
3004935 4004 39
3004935 4005 08
3004935 4006 80
3004935 4007 FA
3004935 400C 3D
3004935 400E 06
3004935 400F F8
3034764 4004 38
3034764 400C 3B
3034764 400E 04
3034804 4017 40
3034808 4006 00
3034812 4005 8F
3034816 4017 C0
3034824 4005 08
3034828 4006 FB
3064594 4000 7E
3064594 4004 37
3064594 4006 AB
3064594 400C 38
3064594 400E 03
3094423 4000 7D
3094423 400C 34
3094423 400E 01
3094463 4017 40
3094467 4006 FF
3094471 4005 87
3094475 4017 C0
3094483 4005 08
3094487 4006 80
3124253 4000 7C
3124253 4004 36
3124253 400C 32
3124253 400E 00
3124293 4017 40
3124297 4006 00
3124301 4005 8F
3124305 4017 C0
3124313 4005 08
3124317 4006 FB
3154082 4006 AB
3154082 400C 30
3183912 4000 7B
3183952 4017 40
3183956 4006 FF
3183960 4005 87
3183964 4017 C0
3183972 4005 08
3183976 4006 80
3213782 4017 40
3213786 4006 00
3213790 4005 8F
3213794 4017 C0
3213802 4005 08
3213806 4006 FB
3243571 4000 7A
3243571 4006 AB
3273441 4017 40
3273445 4006 FF
3273449 4005 87
3273453 4017 C0
3273461 4005 08
3273465 4006 80
3303270 4017 40
3303274 4006 00
3303278 4005 8F
3303282 4017 C0
3303290 4005 08
3303294 4006 FB
